Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,070351,2020,11,28,35.3,1,N
IDCJAC0010,070351,2020,11,29,27.8,1,N
IDCJAC0010,070351,2020,11,30,23.2,1,N
IDCJAC0010,070351,2020,12,01,33.1,1,N
IDCJAC0010,070351,2020,12,02,26.2,1,N
IDCJAC0010,070351,2020,12,03,25.3,1,N
IDCJAC0010,070351,2020,12,04,28.8,1,N
IDCJAC0010,070351,2020,12,05,28.4,1,N
IDCJAC0010,070351,2020,12,06,19.5,1,N
IDCJAC0010,070351,2020,12,07,21.3,1,N
IDCJAC0010,070351,2020,12,08,20.7,1,N
IDCJAC0010,070351,2020,12,09,24.6,1,N
IDCJAC0010,070351,2020,12,10,25.4,1,N
IDCJAC0010,070351,2020,12,11,19.9,1,N
IDCJAC0010,070351,2020,12,12,19.4,1,N
IDCJAC0010,070351,2020,12,13,23.8,1,N
IDCJAC0010,070351,2020,12,14,26.0,1,N
IDCJAC0010,070351,2020,12,15,27.7,1,N
IDCJAC0010,070351,2020,12,16,26.6,1,N
IDCJAC0010,070351,2020,12,17,30.3,1,N
IDCJAC0010,070351,2020,12,18,28.4,1,N
IDCJAC0010,070351,2020,12,19,22.2,1,N
IDCJAC0010,070351,2020,12,20,26.9,1,N
IDCJAC0010,070351,2020,12,21,23.6,1,N
IDCJAC0010,070351,2020,12,22,22.8,1,N
IDCJAC0010,070351,2020,12,23,25.1,1,N
IDCJAC0010,070351,2020,12,24,27.2,1,N
IDCJAC0010,070351,2020,12,25,21.2,1,N
IDCJAC0010,070351,2020,12,26,26.0,1,N
IDCJAC0010,070351,2020,12,27,31.9,1,N
IDCJAC0010,070351,2020,12,28,31.9,1,N
IDCJAC0010,070351,2020,12,29,23.7,1,N
IDCJAC0010,070351,2020,12,30,25.8,1,N
IDCJAC0010,070351,2020,12,31,24.0,1,N
